ID,学年,漢字,画数,音読み,訓読み,ヒント音読み,ヒント訓読み
1001,1,一,1,イチ・イツ,ひと・ひと(つ),一ばん(番),一人、一つ
1002,1,九,2,キュウ・ク,ここの(つ),九百人、九月、,九つ
1003,1,七,2,シチ,なな・なな(つ)・なの,七月,七つ、七日
1004,1,十,2,ジュウ・ジッ,とお・と,十人、十本,十日、十一
1005,1,人,2,ジン・ニン,ひと,人口、三人,一人、人々
1006,1,二,2,ニ,ふた・ふた(つ),二足,二人、二つ
1007,1,入,2,ニュウ,い(る)・い(れる)・はい(る),入学、入力,入る、入れる
1008,1,八,2,ハチ,や・や(つ)・やっ(つ)・よう,八月,八百や(屋)、八つ、八日
1009,1,力,2,リョク・リキ,ちから,出力、人力車、,力もち
1010,1,下,3,カ・ゲ,した・しも・もと・さ(げる)・さ(がる)・くだ(る)・くだ(す)・くだ(さる)・お(ろす)・お(りる),天下、下水,下のほう、下がる、下りる
1011,1,口,3,コウ・ク,くち,火口、口ない(内),口びる(唇)
1012,1,三,3,サン,み・み(つ)・みっ(つ),三月、三こ(個),三つ、三日
1013,1,山,3,サン,やま,山林、森林,山のぼり
1014,1,子,3,シ・ス,こ,女子、よう(様)子,小犬
1015,1,女,3,ジョ・ニョ,おんな・め,女子、天女,女の子、おと女(乙女)
1016,1,小,3,ショウ,ちい(さい)・こ・お,大小,小さい、小石、小川
1017,1,上,3,ジョウ・ショウ,うえ・うわ・かみ・あ(げる)・あ(がる)・のぼ(る)・のぼ(せる)・のぼ(す),上下、上手[音読み],上手[訓読み]、上手、上がる、上る
1018,1,夕,3,セキ,ゆう,一ちょう(朝)一夕,夕日、夕立
1019,1,千,3,セン,ち,千円、千日,千ば(葉)県
1020,1,川,3,セン,かわ,か(河)川,川上、川下
1021,1,大,3,ダイ・タイ,おお・おお(きい)・おお(いに),大学、大小,大きい、大いに
1022,1,土,3,ド・ト,つち,土足、土ち(地),土ねんど(粘土)
1023,1,円,4,エン,まる(い),一円,円いおさら(皿)
1024,1,王,4,オウ,,王さま(様),
1025,1,火,4,カ,ひ,火口、火よう(曜)日,火をつける
1026,1,月,4,ゲツ・ガツ,つき,月よう(曜)日、一(いち)月,お月見、一(ひと)月
1027,1,犬,4,ケン,いぬ,名犬,子犬
1028,1,五,4,ゴ,いつ・いつ(つ),五百円,五つ
1029,1,手,4,シュ・ズ,て・た,手中、上手,手足、下手
1030,1,水,4,スイ,みず,水よう(曜)日、雨(う)水,雨(あま)水
1031,1,中,4,チュウ,なか,水中、空中、日中,山の中、ま(真)ん中、せ(背)中
1032,1,天,4,テン,あま,天下、天空,天の川、
1033,1,日,4,ニチ・ジツ,ひ・か,一日、本日,日の出、五日
1034,1,文,4,ブン・モン,ふみ,文字、さく(作)文、天文だい(台),こい(恋)文
1035,1,木,4,ボク・モク,き・こ,土木、木よう(曜)日,つ(積)み木、木のは(葉）
1036,1,六,4,ロク,む・む(つ)・むっ(つ)・むい,六こ(個),六つ、六日
1037,1,右,5,ウ・ユウ,みぎ,右せつ(折)、左右,右手、右足
1038,1,玉,5,ギョク,たま、だま,しょうぎ(将棋)の王と玉,お年玉、百円玉
1039,1,左,5,サ,ひだり,左せつ(折)、左右,左手、左足
1040,1,四,5,シ,よ・よ(つ)・よっ(つ)・よん,四月,四年生、四つ、四こ
1041,1,出,5,シュツ・スイ,で(る)・だ(す),出力、出納(とう),出口、水を出す
